step,layer,num_kv,deltaPKp_norm
0,4,1,7.107401245320943e-08
0,4,1,7.107401245320943e-08
1,5,1,9.305772152856662e-08
0,4,1,7.107401245320943e-08
1,5,1,9.305772152856662e-08
2,6,1,2.0212918627748877e-07
0,4,1,7.107401245320943e-08
1,5,1,9.305772152856662e-08
2,6,1,2.0212918627748877e-07
3,7,1,2.9502794518521114e-07
0,4,1,7.107401245320943e-08
1,5,1,9.305772152856662e-08
2,6,1,2.0212918627748877e-07
3,7,1,2.9502794518521114e-07
4,8,1,4.0576603055342275e-07
0,4,1,2.1283115358983196e-07
0,4,1,2.1283115358983196e-07
1,5,1,1.4224561084574816e-07
0,4,1,2.1283115358983196e-07
1,5,1,1.4224561084574816e-07
2,6,1,3.0971480668995355e-07
0,4,1,2.1283115358983196e-07
1,5,1,1.4224561084574816e-07
2,6,1,3.0971480668995355e-07
3,7,1,3.4914538105113024e-07
0,4,1,2.1283115358983196e-07
1,5,1,1.4224561084574816e-07
2,6,1,3.0971480668995355e-07
3,7,1,3.4914538105113024e-07
4,8,1,8.05903539458086e-07
0,4,1,1.1336150862462091e-07
0,4,1,1.1336150862462091e-07
1,5,1,1.2894025758214411e-07
0,4,1,1.1336150862462091e-07
1,5,1,1.2894025758214411e-07
2,6,1,3.8541904245903424e-07
0,4,1,1.1336150862462091e-07
1,5,1,1.2894025758214411e-07
2,6,1,3.8541904245903424e-07
3,7,1,3.822372889317194e-07
0,4,1,1.1336150862462091e-07
1,5,1,1.2894025758214411e-07
2,6,1,3.8541904245903424e-07
3,7,1,3.822372889317194e-07
4,8,1,7.634573080395057e-07
0,4,1,1.7441361421788315e-07
0,4,1,1.7441361421788315e-07
1,5,1,1.8521849654007383e-07
0,4,1,1.7441361421788315e-07
1,5,1,1.8521849654007383e-07
2,6,1,2.995096224367444e-07
0,4,1,1.7441361421788315e-07
1,5,1,1.8521849654007383e-07
2,6,1,2.995096224367444e-07
3,7,1,4.860611966250872e-07
0,4,1,1.7441361421788315e-07
1,5,1,1.8521849654007383e-07
2,6,1,2.995096224367444e-07
