case_id_first,num_requests,layer_idx,layer,term1_data_KtT_W_minus_Vt_sq,term1_step_KtT_W_minus_Vt_sq,term2_W_minus_W0global_sq,term3_trace_deltaT_G0_delta,orig_weight_norm,upd_norm,z_error_mean
3566,100,4,11,1525151.15625,9353.19140625,9657.302734375,69.0243911743164,149.311767578125,18.92641830444336,31.880950927734375
3674,100,0,7,7126727.265625,212458.703125,804.1599731445312,6.862490653991699,132.09176635742188,4.424768447875977,47.2811164855957
3674,100,1,8,6329263.169921875,188036.6875,972.4072875976562,9.064496994018555,133.09112548828125,5.124648094177246,45.90158462524414
3674,100,2,9,6272757.93359375,175303.546875,2753.1474609375,14.168706893920898,127.09759521484375,8.783524513244629,44.18930435180664
3674,100,3,10,3657032.20703125,93084.9140625,4165.5712890625,25.24066162109375,137.8231658935547,11.637629508972168,40.15077590942383
3674,100,4,11,1597292.9698486328,14347.51953125,9903.8232421875,71.00495910644531,149.5156707763672,19.271100997924805,31.80621910095215
3779,100,0,7,7335049.375,209784.03125,824.8343505859375,7.045759201049805,132.08790588378906,4.415203094482422,47.17543029785156
3779,100,1,8,6516845.1875,185852.515625,997.8894653320312,9.309473037719727,133.07525634765625,5.0877366065979,45.62345504760742
3779,100,2,9,6453358.546875,170051.78125,2806.72265625,14.482575416564941,127.23590850830078,8.49009895324707,43.76054763793945
3779,100,3,10,3767068.15625,90372.40625,4270.80712890625,25.89112091064453,137.97518920898438,11.58488655090332,39.628456115722656
3779,100,4,11,1665967.236328125,10181.6884765625,10078.671875,72.34538269042969,149.93057250976562,19.03400993347168,31.18974494934082
3881,100,0,7,7547826.5,214369.53125,848.1060791015625,7.239907264709473,132.0738983154297,4.511293888092041,47.71364212036133
3881,100,1,8,6708442.40625,188987.8125,1024.9891357421875,9.556806564331055,133.05056762695312,5.153748989105225,46.25373077392578
3881,100,2,9,6650240.65625,180021.15625,2885.1201171875,14.871964454650879,127.28215026855469,8.723052024841309,44.70134735107422
3881,100,3,10,3881034.34375,92656.578125,4373.1767578125,26.52123260498047,138.123779296875,11.576434135437012,40.123313903808594
3881,100,4,11,1741728.0390625,15644.501953125,10327.2890625,74.34722900390625,150.1050262451172,19.07802391052246,31.386459350585938
3986,100,0,7,7751167.3125,205381.765625,870.0689086914062,7.42819881439209,132.06752014160156,4.413652420043945,46.43956756591797
3986,100,1,8,6892425.875,181714.40625,1050.642333984375,9.79684829711914,133.03155517578125,5.063395023345947,44.95226287841797
3986,100,2,9,6835519.75,170298.15625,2961.63427734375,15.25582504272461,127.42017364501953,8.95055866241455,43.413055419921875
3986,100,3,10,3991556.5,91887.265625,4478.03271484375,27.173404693603516,138.2576141357422,11.6561918258667,39.42933654785156
3986,100,4,11,1817608.03515625,17970.59765625,10576.8779296875,76.37467193603516,150.52505493164062,19.407085418701172,31.33041000366211
4090,100,0,7,7952913.125,203202.125,890.419189453125,7.607779026031494,132.057861328125,4.359107971191406,46.40092849731445
4090,100,1,8,7074920.5625,180357.59375,1075.783447265625,10.033780097961426,133.008544921875,4.993795394897461,44.88093948364258
4090,100,2,9,7015995.125,168438.90625,3014.592041015625,15.566827774047852,127.55657196044922,8.392240524291992,43.2634162902832
4090,100,3,10,4099764.625,88945.765625,4572.92138671875,27.777679443359375,138.4017791748047,11.377202033996582,39.17353439331055
4090,100,4,11,1900861.8828125,9199.42578125,10727.4775390625,77.57019805908203,150.95057678222656,18.815122604370117,30.93228530883789
4193,100,0,7,8153131.9306640625,201255.15625,910.1529541015625,7.781189441680908,132.0399169921875,4.372274875640869,46.29035186767578
4193,100,1,8,7259726.355957031,182482.5625,1100.67578125,10.271503448486328,132.98101806640625,5.047003746032715,45.17570877075195
4193,100,2,9,7196931.625488281,169166.09375,3069.408935546875,15.876174926757812,127.59540557861328,8.342398643493652,43.63267517089844
4193,100,3,10,4208843.5185546875,89369.53125,4668.1171875,28.380661010742188,138.50830078125,11.436861038208008,39.48609924316406
4193,100,4,11,1949301.9940795898,9041.45703125,10892.4931640625,78.86652374267578,151.0446319580078,18.670883178710938,31.17118263244629
4296,100,0,7,8356597.625,204115.15625,930.0693359375,7.959771156311035,132.0205078125,4.369943141937256,46.62452697753906
4296,100,1,8,7444666.71875,182298.78125,1125.7989501953125,10.514561653137207,132.9536590576172,5.0406084060668945,45.19651412963867
4296,100,2,9,7379919.625,168240.375,3123.06982421875,16.1875,127.6422119140625,8.492676734924316,43.28376388549805
4296,100,3,10,4319182.890625,88622.296875,4762.46044921875,28.98196029663086,138.619140625,11.475244522094727,38.84648513793945
4296,100,4,11,2005476.8623046875,9851.57421875,11052.54296875,80.17254638671875,151.1924591064453,18.869094848632812,30.663930892944336
